fila,alta_confirmada,fecha_alta_completa,asignaciones_codigo,cambios_codigo,movimientos_departamento,movimientos_ubicacion,regresos_almacen,cambios_fecha_alta,cambios_fecha_baja
371,SI,2024-06-25 13:25,1,0,1,1,0,1,0
372,NO,,0,0,0,1,0,0,0
374,NO,,0,0,0,0,0,0,0
375,NO,,0,0,0,0,0,0,0
376,SI,2024-08-08 16:22,1,0,1,2,0,1,0
377,SI,2024-08-08 16:23,1,0,1,1,0,1,0
378,NO,,0,0,0,0,0,0,0
379,NO,,0,0,0,1,0,0,0
382,NO,,0,0,0,1,0,0,0
386,NO,,0,0,0,1,0,0,0
387,NO,,0,0,0,2,0,0,0
388,NO,,0,0,0,1,0,0,1
389,NO,,0,0,0,1,0,0,0
390,NO,,0,0,0,0,0,0,0
391,NO,,0,0,0,0,0,0,1
392,NO,,0,0,0,0,0,0,0
395,NO,,0,0,0,1,0,0,0
396,NO,,0,0,0,0,0,0,0
397,NO,,0,0,0,1,1,0,0
400,NO,,0,0,0,0,0,0,0
401,NO,,0,0,0,0,0,0,0
402,NO,,0,0,0,0,0,0,0
403,NO,,0,0,0,0,0,0,0
404,NO,,0,0,0,0,0,0,0
407,NO,,0,0,0,0,0,0,0
408,NO,,0,0,0,1,1,0,0
409,NO,,0,0,0,1,1,0,0
410,NO,,0,0,0,1,1,0,0
414,NO,,0,0,0,1,1,0,0
416,NO,,0,0,0,1,1,0,0
417,NO,,0,0,0,1,1,0,0
418,NO,,1,0,0,0,0,1,0
419,NO,,1,0,0,1,1,1,0
420,NO,,1,0,0,0,0,1,0
421,NO,,1,0,0,1,1,1,0
422,NO,,1,0,0,1,1,1,0
423,NO,,1,0,0,1,1,1,0
424,NO,,1,0,0,1,1,1,0
425,NO,,1,0,0,1,1,1,1
426,NO,,1,0,0,1,1,1,0
427,NO,,1,0,0,1,1,1,1
428,NO,,0,0,0,1,1,0,0
429,NO,,0,0,0,1,1,0,0
430,NO,,0,0,0,1,1,0,0
431,NO,,0,0,0,1,1,0,0
432,NO,,0,0,0,1,1,0,0
433,NO,,0,0,0,1,1,0,0
434,NO,,0,0,0,1,1,0,0
435,NO,,0,0,0,0,0,0,0
436,NO,,0,0,0,0,0,0,0
437,NO,,0,0,0,0,0,0,0
438,NO,,0,0,0,0,0,0,0
439,NO,,1,0,0,0,0,1,0
440,NO,,0,0,0,0,0,1,0
441,NO,,0,0,0,0,0,1,0
442,NO,,0,0,0,0,0,1,1
443,NO,,0,0,0,0,0,1,1
444,NO,,0,0,0,0,0,1,1
445,NO,,0,0,0,0,0,1,1
446,NO,,0,0,0,0,0,1,1
447,NO,,0,0,0,0,0,1,1
448,NO,,0,0,0,0,0,1,1
449,NO,,0,0,0,0,0,1,1
450,NO,,0,0,0,0,0,1,1
451,NO,,0,0,0,0,0,1,1
452,NO,,0,0,0,0,0,1,1
453,NO,,0,0,0,0,0,1,1
454,NO,,0,0,0,0,0,0,1
455,NO,,0,0,0,0,0,0,1
456,NO,,0,0,0,0,0,0,1
457,NO,,0,0,0,0,0,0,1
458,NO,,0,0,0,0,0,0,1
459,NO,,0,0,0,0,0,0,1
460,NO,,0,0,0,0,0,0,1
461,NO,,0,0,0,0,0,0,1
462,NO,,0,0,0,0,0,0,1
463,NO,,0,0,0,0,0,0,1
464,NO,,1,0,1,1,1,1,1
465,NO,,1,0,0,1,0,1,1
466,NO,,1,1,0,2,0,1,1
467,NO,,1,0,1,1,0,1,0
468,NO,,0,0,0,1,0,0,0
469,NO,,0,0,0,0,0,0,0
470,NO,,0,0,0,1,0,0,0
471,NO,,0,0,1,0,0,0,0
472,NO,,0,0,0,2,1,0,0
473,NO,,0,0,0,1,0,0,0
474,NO,,0,0,0,1,0,0,0
475,NO,,0,0,0,0,0,0,0
476,NO,,0,0,0,0,0,0,1
477,NO,,0,0,0,0,0,0,0
478,NO,,0,0,0,1,0,0,0
482,SI,2025-07-21 11:10,1,0,1,1,1,1,0
483,NO,,1,0,0,0,0,0,0
484,NO,,1,0,0,1,0,0,1
485,NO,,3,2,2,1,0,0,0
486,NO,,1,0,0,0,0,0,0
487,SI,2025-07-21 12:48,2,1,1,1,0,1,1
488,SI,2025-07-21 12:49,3,2,2,3,1,2,0
489,NO,,3,2,2,3,1,2,0
490,NO,,3,2,1,4,2,2,0
491,NO,,2,1,0,1,1,1,0
492,NO,,1,0,0,0,0,0,0
493,NO,,1,0,0,0,0,0,0
494,NO,,1,0,0,1,0,0,0
495,NO,,1,0,0,3,2,0,0
496,NO,,1,0,0,1,0,0,1
497,NO,,1,0,0,0,0,0,0
498,NO,,1,0,0,0,0,0,0
499,NO,,1,0,0,1,0,0,0
500,NO,,1,0,0,2,0,0,0
501,NO,,1,0,0,0,0,0,0
502,NO,,1,0,0,0,0,0,0
503,NO,,1,0,0,0,0,0,0
504,NO,,1,0,0,0,0,0,0
505,NO,,1,0,0,1,0,0,0
506,NO,,1,0,0,1,0,0,0
507,NO,,1,0,1,1,0,0,0
508,NO,,1,0,0,1,0,0,0
509,NO,,1,0,0,0,0,0,0
510,NO,,1,0,0,0,0,0,0
511,NO,,1,0,0,0,0,0,0
512,SI,2025-08-12 15:09,1,0,1,1,0,1,0
513,NO,,0,0,0,1,0,0,0
514,NO,,0,0,0,0,0,0,0
517,NO,,0,0,0,0,0,0,0
518,NO,,0,0,0,0,0,0,0
519,NO,,0,0,0,1,0,0,0
520,NO,,0,0,0,0,0,0,0
521,NO,,0,0,0,1,1,0,0
522,NO,,0,0,0,1,0,0,0
523,NO,,0,0,0,0,0,0,0
524,NO,,0,0,0,0,0,0,0
526,NO,,0,0,0,3,0,0,0
527,NO,,0,0,0,2,0,0,0
528,NO,,0,0,0,2,0,0,0
529,NO,,0,0,0,1,0,0,0
531,NO,,0,0,0,0,0,0,0
533,NO,,0,0,0,0,0,0,1
536,NO,,0,0,0,1,1,0,0
538,NO,,0,0,0,0,0,0,0
539,NO,,0,0,0,0,0,0,1
540,NO,,0,0,0,1,0,0,1
541,NO,,0,0,0,1,1,0,0
543,SI,2025-07-07 13:28,1,0,1,1,0,1,0
