Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Impacto de la falla,Consideraciones de falla,Clase de riesgo,Capacidad de detección ,Frecuencia,Última calibración,Fecha programada,Observaciones,Tipo de calibración,Especificaciones
Micropipeta,Eppendorf,Research plus 100 - 1000 μL,P17135J,MIP-DA-09,Desarrollo Analítico,Análisis Fisicoquímicos,Calibración,3,3,Alto,1,12,02-jul-25,Jul-26,,Externa,"100.00 µl (Tol±3.00 µl), 500.00 µl ( Tol±5.00 µl), 1000.00 µl (Tol. ± 6.00 µl)"
Micropipeta,Eppendorf,Research plus 100 - 1000 μL,P17139J,MIP-DA-10,Desarrollo Analítico,Análisis Fisicoquímicos,Calibración,3,3,Alto,1,12,02-jul-25,Jul-26,,Externa,"100.00 µl (Tol±3.00 µl), 500.00 µl ( Tol±5.00 µl), 1000.00 µl (Tol. ± 6.00 µl)"
Micropipeta,VWR,VWR EHP1000 1CH,E42762007,MIP-DA-11,Desarrollo Analítico,Análisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-ago-25,Feb-26,,Externa,"100.00 µl (Tol. ± 0.6 µl), 500.0 µl (Tol. ± 3.00 µl), 1000 µl (Tol. ± 6.00 µl)"
Micropipeta,VWR,VWR EHP1000 1CH,E42762017,MIP-DA-12,Desarrollo Analítico,Análisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-ago-25,Feb-26,,Externa,"100.00 µl (Tol. ± 0.6 µl), 500.0 µl (Tol. ± 3.00 µl), 1000 µl (Tol. ± 6.00 µl)"
Micropipeta,Thermo Scientific,Finnpipette F1,JH36377,MIP-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,23-Ene-20,NA,,NA,NA
Micropipeta,Thermo Scientific,Finnpipette F1,JH54815,MIP-LC-02,Microbiología,Microbiología,Calibración,3,3,Alto,2,6,03-jun-25,Dic-25,,Externa,"100.00 μL (Tol ±1.0 µL), 500.00 μL (Tol ±4.00 µL), 1000.00 μL (Tol ±6.00 µL) "
Micropipeta,VWR,VE100,842740197,MIP-LC-03,NA,NA,NA,NA,NA,NA,NA,NA,07-nov-23,NA,Baja: 05-Ago-24,NA,NA
Micropipeta,VWR,VE1000,742766379,MIP-LC-04,Control de Calidad,Análisis Fisicoquímicos,NA,3,3,Alto,2,6,07-nov-24,May-25,Baja: 06-May-25,Externa,"100.00 μL (Tol.± 1.60 µL), 500.00 μL (Tol±3.50 µL), 1000.00 μL (Tol. 6.00 µL) "
Micropipeta,VWR,VE5000,842780399,MIP-LC-05,Control de Calidad,Análisis Fisicoquímicos,Calibración,3,3,Alto,2,6,01-abr-25,Oct-25,,Externa,"1,000 µL (Tol. ± 6 µL), 2,500 µL (Tol. ±15 µL), 5,000 µL (Tol. ± 25 µL)"
Micropipeta,VWR,VE1000,842764274,MIP-LC-06,NA,NA,NA,NA,NA,NA,NA,NA,15-jul-22,NA,,NA,NA
Micropipeta,VWR,VE1000,A42760223,MIP-LC-07,Control de Calidad,Análisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-mar-25,Sep-25,,Externa,"100.00 μL (Tol ±3 µL) , 500.00 μL(Tol ±10 µL), 1000.00 μL (Tol ± 15 µL)"
Micropipeta,VWR,VE5000,A42780452,MIP-LC-08,Control de Calidad,Análisis Fisicoquímicos,Calibración,3,3,Alto,2,6,05-may-25,Nov-25,,Externa,"1.0000 mL tol ± 0.0060 mL, 2.5000 mL Tol ± 0.0150 mL, 5.0000 mL Tol ± 0.0250 mL"
Micropipeta,Brand,Transferpette,704780,MIP-LC-09,Control de Calidad,Analisis Fisicoquímicos,Calibración,3,3,Alto,2,6,03-jun-25,Dic-25,,Externa,"50 μL (Tol.± 0.3 µL), 100 μL (Tol.± 0.6 µL), 200 μL (Tol.± 1.2 µL), 400 μL (Tol.± 2.4 µL), 600 μL (Tol.± 3.6 µL), 800 μL (Tol.± 4.8 µL), 1000 μL (Tol.± 6.0 µL)"
Micropipeta,Thermo Scientific,Finnpipette F2 0.5-5 mL,UU06703,MIP-LC-10,Control de Calidad,Analisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-ago-25,Feb-26,,Externa,"0.5000 ml Tol ± 0.0400 ml, 5.0000 ml Tol ± 0.0400 ml"
Micropipeta,Thermo Scientific,Finnpipette F2 100-1000 μL,TU09335,MIP-LC-11,Control de Calidad,Analisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-ago-25,Feb-26,,Externa,"100.00 μL, 1 000.00  μL Tol ± 8.00 µL"
Micropipeta,Thermo Scientific,Finnpipette F2 10-100 μL,SU33609,MIP-LC-12,Control de Calidad,Analisis Fisicoquímicos,Calibración,3,3,Alto,2,6,04-ago-25,Feb-26,,Externa,"10.0000 μL, 100.0000 μL tol ± 0.8000 µL"
Micropipeta,VWR,VE100,D42741588,MIP-LC-13,Control de Calidad,Análisis Fisicoquímicos,Calibración,3,3,Alto,1,12,04-ago-25,Ago-26,,Externa,"10.00 μL (Tol ±0.16 µL), 50.00 μL (Tol.±0.40 µL) 100.00 μL (Tol ±0.80 µL)."
Micropipeta,VWR,VE1000,C42762074,MIP-MI-01,Microbiología,Microbiología,Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,Externa,"100.00  μL (Tol ±8 µL), 500.00  μL (Tol.±8 µL), 1000.00  μL (Tol.±8 µL)"
Micropipeta,VWR,VE1000,C42762480,MIP-MI-02,Microbiología,Microbiología,Calibración,3,3,Alto,2,6,01-abr-25,Oct-25,,Externa,"100.00 μL (Tol. ±1 µL), 500.00 μL (Tol ±4.00 µL), 1000.00 μL (Tol.±6.0 µL)"
Microscopio,VWR,82026-622,936794,MIC-LC-01,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Microscopio,LABOMED,CxL,ND,MIC-LC-02,Microbiología,Preparación Microbiológica,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Muestreador de aire,TRIO.BAS,MONO,2720012,MUE-LC-01,Microbiología,Preparación Microbiológica,Calibración,2,2,Medio,2,12,02-sep-25,Sep-26,,Externa,"Flujo de aire 100.0 LPM, 100.0 LPM, 100.0 LPM, 100.0 LPM Tol.±2.5 LPM"
Muestreador de aire,TRIO.BAS,GAS,2720004,MUE-LC-02,Microbiología,Preparación Microbiológica,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Multimetro,Truper,MUT-039,10402,MUT-MA-01,Mantenimiento,"Móvil, Taller de Mantenimiento",Calibración,1,1,Bajo,1,18,03-oct-24,Abr-26,LIMITADO: Solo usar hasta 2 MOhm,Externa,"Voltaje DC 200 mV (Tol. ±2.0), 2 V (Tol±0.018), 20 V (Tol±0.20),200 V (Tol.±2.40), 1000 V (Tol.±15.0), 
Voltaje AC @60 Hz 2 V (Tol.± 0.027), 20 V (Tol ±0.27), 20 0 V (Tol. ± 2.7), 750 V (Tol ±17), 
Corriente DC 2 mA (Tol.±0.031), 20 mA (Tol.±0.31), 200 mA (Tol.±3.1), 
Corriente AC@60Hz 200 mA (Tol± 3.8), 
Resistencia 200 Ohm (Tol ±2.08), 2 KOhm (Tol±0.028), 20 KOhm (Tol.±0.28), 200 KOhm (Tol±2.8), 2 MOhm (Tol. ±0.028), 20 MOhm (Tol. 0.34), 200 MOhm (Tol.±5.2),
 Capacitancia 20 nF (Tol±1.57), 20 mF (Tol.±1.57),
 Frecuencia @250V 2 kHz (Tol ±0.024), 
Temperatura -20°C (Tol±3.0), 0.0 (Tol±4.0), 100.0°C (Tol.±7.0), 300.0°C (Tol±13.0), 500.0°C (Tol±19.0), 800.0°C (Tol±28.0), 1000.0°C (Tol±34.0)."
Multiparamétrico,HATCH,Pocket Pro+Multi2,170728001234,MUL-DA-01,NA,NA,NA,NA,NA,NA,NA,NA,11-may-23,NA,,NA,NA
Multiparamétrico,HATCH,Pocket Pro+Multi2,190728001089,MUL-DA-02,NA,NA,NA,NA,NA,NA,NA,NA,13-Dic-19,NA,,NA,NA
Multiparamétrico,HATCH,Pocket Pro+Multi2,191228001077,MUL-DA-03,NA,NA,NA,NA,NA,NA,NA,NA,05-may-22,NA,,NA,NA
Multiparamétrico,HACH,Pocket Pro + Multi 2,170628001260,MUL-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,06-jul-22,NA,,NA,NA
Multiparamétrico,HACH,Pocket Pro + Multi 2,170628001233,MUL-LC-02,NA,NA,NA,NA,NA,NA,NA,NA,01-sep-20,NA,,NA,NA
Medidor multiparamétrico ,HACH,POCKET PRO TESTER,220727001068,MUL-LC-03,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución)",Calibración,2,2,Medio,2,12,04-feb-25,Feb-26,,Externa,"0.0 μS/cm tol ±0.1, 84.0 μS/cm tol ±8.0, 1413 μS/cm tol ±14.0 µS/cm"
Nivel,SPI-TRONIC,PRO 3600,31-040-9,NIV-VA-01,Mantenimiento,"Móvil, Taller de Mantenimiento",Calibración,1,1,Bajo,2,18,01-sep-25,Mar-27,,Externa,"10.0°, 30.0°C, 45.0°, 60.0°, 90.0° Tol (±0.1°)"
Parrilla con agitador,Corning,PC-420D,1535 21040240,PAA-DA-01,Desarrollo Analítico,Móvil,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla con agitador,Corning,PC-420D,NW23BAA0002429,PAA-DA-02,Desarrollo Analítico,Móvil,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla con agitador,VWR,12365-452,0-90914007,PAA-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla con agitador,Corning,PC-420D,NW23AAA0000620,PAA-LC-02,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla con agitador,Corning,PC-420D,NW23AAA0000607,PAA-LC-03,Control de Calidad,Análisis Fisicoquímicos,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parilla con agitador,DLAB,ND,ND,PAA-MI-01,Microbiología,Preparación Microbiológica,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parilla con agitador,DLAB,ND,ND,PAA-MI-02,Microbiología,Preparación Microbiológica,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla eléctrica,Thomas Scientific,10x10,120201001,PAE-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla eléctrica,VWR,984VW0CHPUSP,190107002,PAE-LC-02,Microbiología,Preparación Microbiológica,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Parrilla eléctrica,VWR,10x10,181008001,PAE-LC-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Pesa 5Kg,RICE LAKE,Clase F,15F054,PES-VA-01,Validación ,"Móvil, Almacén de Validación",Calibración,2,3,Alto,1,12,03-dic-24,Dic-25,,Externa,5.00000 kg Tol (0.00050 kg)
Pesa 10Kg,RICE LAKE,Clase F,15F075,PES-VA-02,Fabricación,Utensilios y Aditamentos de Fabricación,Calibración,2,3,Alto,1,12,03-dic-24,Dic-25,,Externa,10.000 kg (Tol±0.012 kg)
Pesa 25Kg,RICE LAKE,Clase F,15F069,PES-VA-03,Fabricación,Utensilios y Aditamentos de Fabricación,Calibración,2,3,Alto,1,12,03-dic-24,Dic-25,,Externa,25.000 kg Tol±0.012 kg
Pesa 50Kg,RICE LAKE,Clase F,15F065,PES-VA-04,NA,NA,NA,NA,NA,NA,NA,NA,24-Ene-19,NA,,NA,NA
Pesa 50Kg,RICE LAKE,Clase F,15F065,PES-VA-05,NA,NA,NA,NA,NA,NA,NA,NA,24-Ene-19,NA,,NA,NA
Pistola de recubrimiento,BINKS,BBR HVLP,NA,PIR-PR-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Punzón 6 mm,ND,ND,ND,PUN-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Punzón 8 mm,ND,ND,ND,PUN-DF-02,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Punzón 10 mm,ND,ND,ND,PUN-DF-03,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Punzón 11.1 mm x 5.5 mm,ND,ND,ND,PUN-DF-04,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
Purificador de agua,ELGA Purelab,Ultra ANMK2,UAF268T31,PUR-LC-01,Control de Calidad,Disolución,Calibración,2,2,Medio,2,12,02-may-25,May-26,,En planta,"0.0 MΩ/cm (Tol±0.2), 0.9 MΩ/cm (Tol±0.2), 10.0 MΩ/cm (Tol±0.2), 18 MΩ/cm (Tol±0.2), Temperatura ambiente ±0.2°C."
Registrador de temperatura ,Graphtec,GL220,ND,REG-VA-01,Validación ,"Móvil, Almacén de Validación",Calibración,3,1,Medio,2,12,04-nov-24,Nov-25,,Externa,"-200.00°C, -100.00°C, 0.00°C, 100.00°C, 300.00°C, 600.00°C, 900.00°C, 1200.00°C, 1370.00°C Tol±2.10,1.05,1.00,1.05,1.15,1.30,1.45,1.60,1.69 (10 puntos)"
Registrador de temperatura ,Omega,OM-EL-USB-1-PRO-A,10025143,REG-VA-02,Validación ,"Móvil, Almacén de Validación",Calibración,1,2,Bajo,2,18,02-jul-24,Ene-26,,Externa,"-20.00°C, 0.00°C, 10.00°C, 30.00°C, 60.00°C,125.00°C Tol±0.20°C"
Registrador de temperatura,Omega,OM-EL-USB-1-PRO-A,68001028,REG-VA-03,Validación,"Móvil, Almacén de Validación",Calibración,1,2,Bajo,2,18,05-feb-25,Ago-26,,Externa,"-20.00°C, 0.00°C, 10.00°C, 30.00°C, 60.00°C,125.00°C Tol±0.20°C"
Registrador de temperatura y humedad,Amprobe,TB300,16070001,DAT-LO-01,NA,NA,NA,NA,NA,NA,NA,NA,12-may-18,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,180106970,DAT-LO-02,NA,NA,NA,NA,NA,NA,NA,NA,26-Mar-19,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,180106971,DAT-LO-03,NA,NA,NA,NA,NA,NA,NA,NA,10-Abr-19,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,180106977,DAT-LO-04,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50.0°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,180106972,DAT-LO-05,NA,NA,NA,NA,NA,NA,NA,NA,14-May-19,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,180106976,DAT-LO-06,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,180106973,DAT-LO-07,Validación ,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,01-jul-25,Jul-26,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,180106975,DAT-LO-08,NA,NA,NA,NA,NA,NA,NA,NA,11-may-23,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,180106974,DAT-LO-09,Validación ,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,01-jul-25,Jul-26,,Externa,"Temperatura -40.00°C, -20.00°C, 0.00, 20.00°C, 30.00°C, 40.00°C, 45.00°C Tol ± 1.00°C. Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004511,DAT-VA-01,NA,NA,NA,NA,NA,NA,NA,NA,25-Nov-18,NA,,NA,NA
Registrador de temperatura y humedad,CEM,DT-171,181004514,DAT-VA-02,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-dic-24,Dic-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004515,DAT-VA-03,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C , 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004519,DAT-VA-04,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004516,DAT-VA-05,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C , 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004517,DAT-VA-06,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004518,DAT-VA-07,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004513,DAT-VA-08,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004510,DAT-VA-09,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 5.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004512,DAT-VA-10,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-nov-24,Nov-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,CEM,DT-171,181004520,DAT-VA-11,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,05-dic-24,Dic-25,,Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 1.0%, 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042284,DAT-VA-12,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042212,DAT-VA-13,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042822,DAT-VA-14,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042851,DAT-VA-15,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065041750,DAT-VA-16,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042000,DAT-VA-17,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065041436,DAT-VA-18,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 45°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065032335,DAT-VA-19,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,"Rechazado en calibración vrodriguez 21-May-25
Baja: 22-Jul-25 vrodriguez 22-Jul-25",Externa,"Temperatura 10.0°C, 20.0°C, 35.0°C, 45°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065042582,DAT-VA-20,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065038891,DAT-VA-21,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065031284,DAT-VA-22,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065033029,DAT-VA-23,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065032586,DAT-VA-24,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065044633,DAT-VA-25,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Ampere,EL-USB-2,065041322,DAT-VA-26,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Lascar Electronics,EL-USB-2,000000530,DAT-VA-27,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Lascar Electronics,EL-USB-2,000002972,DAT-VA-28,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Lascar Electronics,EL-USB-2,000000594,DAT-VA-29,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
Registrador de temperatura y humedad,Lascar Electronics,EL-USB-2,000000986,DAT-VA-30,NA,NA,NA,NA,NA,NA,NA,NA,06-may-25,NA,Baja el 26-Ago-25 vrodriguez 11-Sep-25,NA,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% "
