Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Impacto de la falla,Consideraciones de falla,Clase de riesgo,Capacidad de detección ,Frecuencia,Última calibración,Fecha programada,Observaciones,Tipo de calibración,Especificaciones
Manómetro de presión,SNS,ND,ND,MAP-FR-17,Fabricación,"Abrillantadora, ABR-FR-02",Calibración,3,3,Alto,1,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00 PSI, 50.00 PSI, 100.00 PSI, 150.00 PSI Tol ±10.00"
Manómetro de presión,SNS,ND,ND,MAP-FR-18,Fabricación,"Abrillantadora, ABR-FR-03",Calibración,3,3,Alto,1,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00 PSI, 50.00 PSI, 100.00 PSI, 150.00 PSI Tol ±10.00"
Manómetro de presión,ND,ND,ND,MAP-FR-19,Validación,"Móvil, Almacén de Validación",Calibración,1,1,Bajo,2,18,01-jul-25,Ene-27,,En planta,"0.00 MPa, 0.20 MPa, 0.40 Mpa, 0.80 MPa, 1.00 MPa Tol ±0.02MPa"
Manómetro de presión,ND,ND,ND,MAP-FR-20,Validación,"Móvil, Almacén de Validación",NA,NA,NA,NA,NA,NA,01-jul-25,NA,Baja: 22-Jul-25 vrodriguez 22-Jul-25,En planta,"0.00 MPa, 0.20 MPa, 0.40 Mpa, 0.80 MPa, 1.00 MPa Tol ±0.02MPa"
Manómetro de presión,Power Team,9055,ND,MAP-FR-21,Fabricación,"Tableteado 1, en TAB-PR-01",Calibración,2,3,Alto,1,12,01-nov-24,Nov-25,,En planta + Mantenimiento,"0 PSI, 2 000PSI, 4 000PSI, 6 000PSI, 8 000PSI,10 000PSI, Tol ± 200 PSI"
Manómetro de presión,MC,KAOGEER,NA,MAP-FR-22,Fabricación,"Acondicionamiento Secundario Blíster, en ENA-FR-01",Calibración,3,3,Alto,1,12,04-feb-25,Feb-26,,En planta + Mantenimiento,"0.0000 MPa, 0.2000 MPa, 0.4000MPa, 0.8000MPa, 1.0000MPa, Tol ± 0.0200 MPa"
Manómetro de presión,DEWIT,2000CB,03220100758,MAP-FR-23,Fabricación,"Tableteado 2, en TAB-FR-02",Calibración,2,3,Alto,1,12,03-jun-25,Jun-26,,En planta + Mantenimiento,"0.00 PSI, 100.00 PSI, 200.00 PSI, 300.00 PSI, 400.0 PSI De acuerdo a proveedor."
Manómetro de presión,Dräger,B8336,4132290582,MAP-VA-01,Validación,"Móvil, Almacén de Validación",Calibración,3,1,Medio,2,12,01-jul-25,Jul-26,,En planta,"0.00 PSI, 50.00 PSI, 100.00 PSI, 150.00 PSI, 200.00 PSI, 230.00 PSI Tol ±10.00PSI"
Manómetro de vacio,Instrutek,ND,ND,MAV-VA-01,Validación,"Móvil, Almacén de Validación",NA,NA,NA,NA,NA,NA,NA,NA,"Para repuesto, se mandará a calibrar una vez que se requiera.",NA,NA
Manómetro de vacio,DEWIT,ND,ND,MAV-VA-02,Validación,"Móvil, Almacén de Validación",NA,NA,NA,NA,NA,NA,NA,NA,Instrumento como repuesto.,NA,NA
Manómetro de vacío,NA,NA,NA,MAV-CP-01,NA,NA,NA,NA,NA,NA,NA,NA,04-jul-22,NA,Baja: 07-Sep-22,NA,NA
Manómetro de vacío,ND,927,ND,MAV-DA-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baja: 11-Oct-18,NA,NA
Manómetro de vacío,Tube&Socket,"304SS Case, 316SS",4CFDA8A,MAV-DA-02,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-01",Calibración,2,3,Alto,1,12,01-sep-25,Sep-26,,En planta + Mantenimiento,"0.00 inHG, 5.00 inHG, 10.00 inHG, 20.00 inHG, 25.00 inHg Tol ±1.00inHg"
Manómetro de vacío,Tube&Socket,"304SS Case, 316SS",4CFD8A,MAV-DA-03,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-01",Calibración,2,2,Medio,2,12,01-nov-24,Nov-25,,En planta + Mantenimiento,"0.00 inHG, 5.00 inHG, 10.00 inHG, 20.00 inHG, 25.00 inHg Tol ±1.00inHg"
Manómetro de vacío,ND,ND,ND,MAV-DA-04,NA,NA,NA,NA,NA,NA,NA,NA,05-mar-21,NA,,NA,NA
Manómetro de vacío,ND,ND,ND,MAV-DA-05,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-03",Calibración,2,2,Medio,2,12,03-mar-25,Mar-26,,En planta + Mantenimiento,"-30.000 InHg, -25.00 InHg, -20.00 InHg, -15.00 InHg, -10.00 InHg, -5.00 InHg, 0.00 InHg Tol ± 1.00"
Manómetro de vacío,ND,4CFD8A,ND,MAV-DA-06,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-02",Calibración,1,3,Medio,2,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00InHg, 5.00inHg, 10.00 inHg, 15.00inHg, 20.00inHg, 30.00inHg Tol ±1.00InHg"
Manómetro de vacío,ND,ND,ND,MAV-DA-07,Desarrollo Analítico,"Análisis Instrumental II, en ESE-DA-01",NA,NA,NA,NA,NA,NA,NA,NA,Por mantener garantia se cancela calibración,NA,NA
Manómetro de vacio,Instrutek,ND,ND,MAV-FR-01,Fabricación,"Encapsulado y Abrillantado 4, en ENC-PR-04 (bomba)",Calibración,2,3,Alto,1,12,02-oct-24,Oct-25,,En planta + Mantenimiento,"0.0 inHg, -5.0 inHg, -10.0 inHg, -15.0 inHg, -20.5  inHg, -25.5 inHg, -30.0 inHg Tol. ±1.0inHg"
Manómetro de vacio,DEWIT,255/63/VACIO,6211205373,MAV-FR-02,NA,NA,NA,NA,NA,NA,NA,NA,10-nov-22,NA,,NA,NA
Manómetro de vacio,Manometer,ND,ND,MAV-FR-03,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02 (Bomba de vacío)",Calibración,2,2,Medio,2,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00 inHg, 5.00inHg, 10.00 inHg, 15.00inHg, 20.00inHg, 22.00inHg Tol. ±3 inHg"
Manómetro de vacio,Huayi,ND,ND,MAV-FR-04,Fabricación,"Encapsulado y Abrillantado #5, en ENC-FR-05",Calibración,2,3,Alto,1,12,04-dic-24,Dic-25,,En planta + Mantenimiento,"0.00 Mpa, -0.02 Mpa, -0.04 Mpa, -0.08 Mpa, -0.1 Mpa Tolerancia de acuerdo a proveedor."
Manómetro de vacio,Huayi,ND,ND,MAV-FR-05,Fabricación,"Encapsulado y Abrillantado 4, en ENC-FR-06",Calibración,2,3,Alto,1,12,01-ago-25,Ago-26,,En planta + Mantenimiento,"0.00 MPa, -0.02 MPa, -0.04 MPa, -0.06 MPa Tolerancia establecida por el proveedor."
Manómetro de vacío,Ashcroft,ND,ND,MAV-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,15-Ago-19,NA,Baja:15-Ago-19,NA,NA
Manómetro de vacío,ND,927,ND,MAV-LC-02,NA,NA,NA,NA,NA,NA,NA,NA,16-Ago-18,NA,Baja:16-Nov-18,NA,NA
Manómetro de vacío,ND,ND,ND,MAV-LC-03,NA,NA,NA,NA,NA,NA,NA,NA,14-Dic-18,NA,Baja:17-Dic-18,NA,NA
Manómetro de vacío,ND,ND,ND,MAV-LC-04,Control de Calidad,"Análisis Fisicoquímicos, en BOV-LC-02",Calibración,2,3,Alto,1,12,03-mar-25,Mar-26,,En planta + Mantenimiento,"0.00 inHg, -5.00 inHg, -10.00 inHg, -15.00 inHg, -20.00 inHg, -30.00 inHg Tol ±1.00inHg"
Manómetro de vacío,ND,ND,ND,MAV-LC-05,Microbiología,Microbiología,Calibración,2,3,Alto,1,12,01-sep-25,Sep-26,,En planta + Mantenimiento,"5.00 inHg, 10.00 inHg, 20.00inHg, 25.00inHg Tol ±0.50inHg"
